destination_id,destination_city,country,region,avg_annual_temp_c,seasonal_range_c,dry_season_months,cost_per_day_avg_usd,meal_budget_usd,hotel_night_avg_usd,flight_cost_usd,museum_count,monument_count,festival_score,beach_score,scenic_score,wellness_score,culture_score,hiking_score,nightlife_score,family_score,luxury_score,safety_score,tourist_density_score,adventure_sports_score,near_mountains,near_beach,best_season,visa_requirement,english_friendly_score,public_transport_score,latitude,longitude,source_label_hint,travel_style
DST-0011,Costa Rica,Costa Rica,Central America,26.0,5.0,"Dec,Jan,Feb,Mar,Apr",80,10,55,500,4,3,4,7,8,5,5,6,4,6,3,8,5,7,0,1,"Dec-Apr","Visa-Free",7,4,9.7489,-83.7534,"Rainforest zip lining surfing wildlife",Adventure
DST-0012,Cairns,Australia,Oceania,25.0,10.0,"May,Jun,Jul,Aug,Sep,Oct",100,14,80,1100,5,3,4,6,7,5,4,5,5,6,4,8,6,8,0,1,"May-Oct","eVisitor required",10,4,-16.9186,145.7781,"Great Barrier Reef diving rainforest",Adventure
DST-0013,Reykjavik,Iceland,Western Europe,5.0,12.0,"Jun,Jul,Aug",160,22,130,500,8,4,6,3,9,6,5,6,4,5,4,9,5,7,0,1,"Jun-Aug","Schengen Visa",9,5,64.1466,-21.9426,"Northern lights glaciers volcanoes hot springs",Adventure
DST-0014,Cusco,Peru,South America,13.0,8.0,"May,Jun,Jul,Aug,Sep",45,6,30,650,10,15,8,1,8,2,9,5,3,3,1,6,7,4,1,0,"May-Sep","Visa-Free",4,4,-13.5320,-71.9675,"Machu Picchu Inca Trail culture trekking",Adventure
DST-0015,Squamish,Canada,North America,10.0,18.0,"Jun,Jul,Aug,Sep",95,13,75,350,2,1,3,1,9,3,2,8,3,3,2,9,5,9,1,0,"Jun-Sep","eTA required",10,3,49.7016,-123.1558,"Rock climbing hiking mountain biking",Adventure
DST-0016,Sydney,Australia,Oceania,19.0,12.0,"Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr",130,18,100,1000,25,18,8,8,7,6,7,4,8,7,7,9,8,6,0,1,"Sep-Apr","eVisitor required",10,9,-33.8688,151.2093,"Opera House beaches coastal walks culture",Culture
DST-0017,Paris,France,Western Europe,13.0,14.0,"Apr,May,Jun,Sep,Oct",180,25,150,350,130,80,9,2,7,5,10,1,8,6,8,8,9,1,0,0,"Apr-Jun","Schengen Visa",6,10,48.8566,2.3522,"Louvre Eiffel gastronomy fashion romance",Culture
DST-0018,Rome,Italy,Western Europe,16.0,16.0,"Apr,May,Jun,Sep,Oct",140,18,100,350,90,70,8,1,7,4,10,1,6,5,7,8,9,1,0,0,"Apr-Jun","Schengen Visa",5,8,41.9028,12.4964,"Colosseum Vatican ancient history cuisine",Culture
DST-0019,Kyoto,Japan,East Asia,16.0,22.0,"Mar,Apr,May,Oct,Nov",120,15,90,700,50,40,9,1,8,6,10,3,5,6,6,9,8,1,1,0,"Mar-May","Visa required",4,9,35.0116,135.7681,"Temples gardens geisha traditional tea ceremony",Culture
DST-0020,Istanbul,Turkey,Middle East,15.0,18.0,"Apr,May,Jun,Sep,Oct",70,9,50,400,35,50,7,3,7,5,9,2,7,5,5,7,8,2,0,1,"Apr-Jun","eVisa available",5,7,41.0082,28.9784,"Hagia Sophia bazaars Bosphorus mosques",Culture
DST-0021,Cairo,Egypt,North Africa,23.0,15.0,"Oct,Nov,Dec,Jan,Feb,Mar,Apr",50,6,35,500,40,30,6,2,4,2,9,2,5,5,3,6,8,2,0,0,"Oct-Apr","Visa on Arrival",5,5,30.0444,31.2357,"Pyramids Sphinx Egyptian Museum Nile",Culture
DST-0022,Athens,Greece,Western Europe,18.0,16.0,"Apr,May,Jun,Sep,Oct",100,14,70,400,30,35,6,5,7,4,9,2,7,4,5,8,8,2,0,1,"Apr-Jun","Schengen Visa",7,7,37.9838,23.7275,"Acropolis ancient ruins Plaka tavernas",Culture
DST-0023,Bagan,Myanmar,Southeast Asia,27.0,10.0,"Nov,Dec,Jan,Feb,Mar",40,5,28,650,3,30,5,1,7,2,8,1,2,3,1,6,7,1,0,0,"Nov-Mar","eVisa available",4,3,21.1717,94.8585,"Temples ancient pagodas sunrise balloon",Culture
DST-0024,Beijing,China,East Asia,12.0,30.0,"Apr,May,Sep,Oct",80,10,55,700,45,30,7,1,5,3,8,2,6,4,3,7,8,1,1,0,"Apr-May","Visa required",3,8,39.9042,116.4074,"Forbidden City Great Wall temples hutongs",Culture
DST-0025,Delhi,India,South Asia,25.0,20.0,"Oct,Nov,Dec,Jan,Feb,Mar",50,6,35,650,25,20,8,1,3,3,8,1,5,5,3,6,8,1,0,0,"Oct-Mar","eVisa available",7,6,28.6139,77.2090,"Red Fort temples markets street food",Culture
DST-0026,Vienna,Austria,Western Europe,11.0,22.0,"Apr,May,Jun,Sep,Oct",130,18,100,350,80,50,9,1,6,5,9,2,6,6,7,9,7,1,0,0,"Apr-Jun","Schengen Visa",8,9,48.2082,16.3738,"Opera classical music palaces coffee houses",Culture
DST-0027,Florence,Italy,Western Europe,15.0,18.0,"Apr,May,Jun,Sep,Oct",140,18,100,350,60,45,8,1,7,4,10,2,6,5,6,8,9,1,0,0,"Apr-Jun","Schengen Visa",6,7,43.7696,11.2558,"Renaissance art Duomo Uffizi Tuscan cuisine",Culture
DST-0028,Kolkata,India,South Asia,27.0,12.0,"Oct,Nov,Dec,Jan,Feb",40,5,28,600,15,12,9,1,3,2,8,1,4,4,2,6,7,1,0,0,"Oct-Feb","eVisa available",7,5,22.5726,88.3639,"Colonial architecture festivals literature temples",Culture
DST-0029,Seville,Spain,Western Europe,19.0,16.0,"Mar,Apr,May,Sep,Oct",90,12,65,300,20,25,8,2,6,4,8,1,7,5,4,8,7,1,0,0,"Mar-May","Schengen Visa",6,7,37.3891,-5.9845,"Flamenco Alcázar tapas Holy Week",Culture
DST-0030,Budapest,Hungary,Western Europe,11.0,24.0,"Apr,May,Jun,Sep,Oct",65,8,45,300,30,20,7,1,7,6,7,2,7,5,4,8,6,1,0,0,"Apr-Jun","Schengen Visa",7,8,47.4979,19.0402,"Thermal baths Parliament ruin bars Danube",Culture
DST-0031,Angkor Wat,Cambodia,Southeast Asia,28.0,8.0,"Nov,Dec,Jan,Feb,Mar",40,5,28,700,3,30,5,1,6,3,8,1,2,3,1,7,8,1,0,0,"Nov-Mar","eVisa available",4,3,13.4125,103.8670,"Temples ancient ruins archaeology history",Culture
DST-0032,Krakow,Poland,Western Europe,9.0,22.0,"May,Jun,Jul,Aug,Sep",55,7,38,350,25,20,7,1,5,3,8,2,6,5,3,8,6,1,0,0,"May-Sep","Schengen Visa",7,7,50.0647,19.9450,"Old Town Wawel Auschwitz salt mines",Culture
DST-0033,Jaipur,India,South Asia,26.0,18.0,"Oct,Nov,Dec,Jan,Feb,Mar",45,6,30,600,12,15,7,1,5,3,7,1,4,5,4,7,7,1,1,0,"Oct-Mar","eVisa available",6,5,26.9124,75.7873,"Pink City forts palaces bazaars textiles",Culture
DST-0034,Bangkok,Thailand,Southeast Asia,29.0,6.0,"Nov,Dec,Jan,Feb,Mar",45,5,30,700,20,25,8,2,3,4,7,1,8,4,4,7,8,1,0,0,"Nov-Mar","Visa on Arrival",5,7,13.7563,100.5018,"Temples street food floating markets nightlife",Culture
DST-0035,Lisbon,Portugal,Western Europe,18.0,12.0,"Apr,May,Jun,Sep,Oct",90,12,65,350,35,25,7,6,7,5,7,2,8,5,5,9,7,2,0,1,"Apr-Jun","Schengen Visa",8,8,38.7223,-9.1393,"Fado tiles custard tarts hills viewpoints",Culture
DST-0036,Prague,Czech Republic,Western Europe,9.0,20.0,"Apr,May,Jun,Sep,Oct",65,8,45,300,30,28,7,1,7,4,8,2,7,5,4,9,7,1,0,0,"Apr-Jun","Schengen Visa",7,9,50.0755,14.4378,"Castle Charles Bridge beer Old Town",Culture
DST-0037,Hanoi,Vietnam,Southeast Asia,24.0,14.0,"Oct,Nov,Dec,Jan,Feb,Mar,Apr",35,3,22,650,15,18,6,1,5,3,7,2,4,4,2,7,6,1,0,0,"Oct-Apr","eVisa available",4,5,21.0278,105.8342,"Old Quarter temples Hoan Kiem street food",Culture
DST-0038,Jerusalem,Israel,Middle East,18.0,14.0,"Apr,May,Jun,Sep,Oct",100,14,75,450,25,35,7,1,5,2,9,2,4,4,3,7,8,1,1,0,"Apr-Jun","Visa required",7,6,31.7683,35.2137,"Holy sites Old City Western Wall history",Culture
DST-0039,Marrakech,Morocco,North Africa,20.0,18.0,"Mar,Apr,May,Sep,Oct,Nov",55,7,40,400,10,15,7,1,5,4,7,2,5,4,4,7,8,1,1,0,"Mar-May","Visa-Free",4,5,31.6295,-7.9811,"Medina souks riads Jemaa el-Fna gardens",Culture
DST-0040,Mexico City,Mexico,Central America,17.0,12.0,"Nov,Dec,Jan,Feb,Mar,Apr",55,7,40,350,40,30,8,1,5,3,8,2,7,5,4,6,7,1,1,0,"Nov-Apr","Visa-Free",6,8,19.4326,-99.1332,"Pyramids Frida Kahlo tacos anthropology museum",Culture
DST-0041,Cape Town,South Africa,Sub-Saharan Africa,17.0,12.0,"Nov,Dec,Jan,Feb,Mar",70,10,50,800,18,12,6,7,9,5,6,6,6,5,5,6,6,7,1,1,"Nov-Mar","Visa-Free",9,5,-33.9249,18.4241,"Table Mountain beaches wine Winelands penguins",Adventure
DST-0042,Maldives,Maldives,South Asia,28.0,3.0,"Dec,Jan,Feb,Mar,Apr",300,30,280,900,1,1,2,10,8,9,2,1,2,6,10,9,4,3,0,1,"Dec-Apr","Visa on Arrival",7,2,3.2028,73.2207,"Overwater villas diving spa luxury honeymoon",Luxury
DST-0043,Dubai,UAE,Middle East,28.0,18.0,"Nov,Dec,Jan,Feb,Mar",250,25,220,500,12,5,6,8,4,7,4,1,8,7,10,8,8,4,0,1,"Nov-Mar","Visa on Arrival",8,6,25.2048,55.2708,"Burj Khalifa shopping desert safari luxury",Luxury
DST-0044,Santorini,Greece,Western Europe,19.0,12.0,"Jun,Jul,Aug,Sep",200,25,170,400,5,8,5,6,10,7,5,2,7,5,8,8,8,2,0,1,"Jun-Sep","Schengen Visa",7,4,36.3932,25.4615,"Sunsets caldera wineries luxury cave hotels",Luxury
DST-0045,Monaco,Monaco,Western Europe,16.0,14.0,"May,Jun,Jul,Aug,Sep",350,40,300,300,12,8,6,5,7,8,5,1,7,4,10,9,8,3,0,1,"May-Sep","Schengen Visa",7,6,43.7384,7.4246,"Casino Monte Carlo Formula 1 yachts luxury",Luxury
DST-0046,Swiss Alps,Switzerland,Western Europe,4.0,25.0,"Jun,Jul,Aug,Sep,Dec,Jan,Feb,Mar",280,30,250,500,3,3,3,1,10,8,3,9,2,6,10,9,6,10,1,0,"Jun-Sep","Schengen Visa",7,7,46.5285,8.2975,"St Moritz Zermatt luxury ski Matterhorn",Luxury
DST-0047,Seychelles,Seychelles,Sub-Saharan Africa,27.0,4.0,"May,Jun,Jul,Aug,Sep,Oct",280,28,250,900,2,1,2,10,9,9,2,2,2,6,9,9,4,4,0,1,"May-Oct","Visa-Free",8,3,-4.6796,55.4920,"Private islands luxury resorts diving beaches",Luxury
DST-0048,Bora Bora,French Polynesia,Oceania,27.0,4.0,"May,Jun,Jul,Aug,Sep,Oct",350,35,320,1200,1,1,2,10,10,9,2,2,2,5,10,9,3,5,0,1,"May-Oct","Visa required",5,2,-16.5004,-151.7415,"Overwater bungalows lagoon luxury honeymoon",Luxury
DST-0049,Amalfi Coast,Italy,Western Europe,18.0,14.0,"May,Jun,Jul,Aug,Sep",220,28,190,400,8,15,6,7,10,7,6,3,6,5,8,8,8,2,1,1,"May-Sep","Schengen Visa",6,5,40.6333,14.6000,"Positano Ravello limoncello coastal luxury",Luxury
DST-0050,Bali,Indonesia,Southeast Asia,27.0,3.0,"May,Jun,Jul,Aug,Sep",55,6,40,750,6,10,7,8,8,9,6,6,5,6,5,7,6,5,1,1,"May-Sep","Visa on Arrival",7,4,-8.3405,115.092,"Ubud temples rice terraces surf yoga",Relaxation
DST-0051,Phuket,Thailand,Southeast Asia,28.0,5.0,"Nov,Dec,Jan,Feb,Mar,Apr",60,7,45,700,3,4,5,9,7,7,3,2,7,5,5,7,7,4,0,1,"Nov-Mar","Visa on Arrival",6,4,7.8804,98.3923,"Beaches islands diving nightlife spa",Relaxation
DST-0052,Corfu,Greece,Western Europe,18.0,14.0,"Jun,Jul,Aug,Sep",85,12,60,350,8,10,6,9,8,6,5,3,6,6,5,8,6,3,0,1,"Jun-Sep","Schengen Visa",8,5,39.6243,19.9217,"Beaches Old Town olive groves tavernas",Relaxation
DST-0053,Algarve,Portugal,Western Europe,18.0,12.0,"Jun,Jul,Aug,Sep",95,14,70,300,5,8,5,9,9,6,3,3,5,6,5,9,6,4,0,1,"Jun-Sep","Schengen Visa",8,5,37.0180,-7.9320,"Beaches cliffs golf resorts seafood",Relaxation
DST-0054,Maui,United States,North America,25.0,6.0,"Apr,May,Sep,Oct",200,25,170,500,4,3,5,9,9,8,3,5,4,7,7,9,6,6,1,1,"Apr-May","ESTA or Visa",10,4,20.7984,-156.3319,"Beaches Road to Hana snorkeling whale watching",Relaxation
DST-0055,Goa,India,South Asia,27.0,6.0,"Nov,Dec,Jan,Feb,Mar",45,6,30,600,4,8,6,8,6,7,3,1,6,3,3,7,6,3,0,1,"Nov-Mar","eVisa available",7,3,15.2993,74.1240,"Beaches yoga spice plantations Portuguese heritage",Relaxation
DST-0056,Cinque Terre,Italy,Western Europe,16.0,14.0,"May,Jun,Jul,Aug,Sep",130,18,100,400,3,12,5,6,10,4,5,7,4,5,5,8,8,4,1,1,"May-Sep","Schengen Visa",5,7,44.1461,9.6438,"Coastal villages hiking pesto wine Liguria",Relaxation
DST-0057,Vanuatu,Vanuatu,Oceania,25.0,6.0,"May,Jun,Jul,Aug,Sep,Oct",100,14,70,800,1,1,3,9,8,7,2,2,2,4,4,8,3,4,0,1,"May-Oct","Visa-Free",6,2,-17.7333,168.3273,"Volcanoes diving beaches Melanesian culture",Relaxation
DST-0058,Croatia Coast,Croatia,Western Europe,16.0,16.0,"Jun,Jul,Aug,Sep",95,13,70,350,8,12,6,7,9,5,5,3,6,5,5,9,6,4,0,1,"Jun-Sep","Schengen Visa",7,5,42.6507,18.0944,"Dubrovnik islands Game of Thrones beaches",Relaxation
DST-0059,Mauritius,Mauritius,Sub-Saharan Africa,24.0,8.0,"May,Jun,Jul,Aug,Sep,Oct,Nov",120,16,90,800,3,2,5,9,8,7,3,3,3,6,7,8,5,5,0,1,"May-Nov","Visa-Free",8,4,-20.3484,57.5522,"Beaches resorts diving multicultural cuisine",Relaxation
DST-0060,Tulum,Mexico,Central America,26.0,8.0,"Nov,Dec,Jan,Feb,Mar,Apr",95,13,70,400,3,8,5,9,7,7,4,2,5,4,5,7,6,4,0,1,"Nov-Apr","Visa-Free",6,3,20.2114,-87.4654,"Mayan ruins cenotes beaches yoga eco-resorts",Relaxation
DST-0061,Byron Bay,Australia,Oceania,20.0,10.0,"Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr",110,15,85,1000,3,2,5,9,8,8,3,4,4,5,5,9,6,6,0,1,"Sep-Apr","eVisitor required",10,4,-28.6442,153.6122,"Beaches surfing wellness hippie markets",Relaxation
DST-0062,Maldives Local,Maldives,South Asia,28.0,3.0,"Dec,Jan,Feb,Mar,Apr",120,15,95,900,1,1,2,10,8,8,2,1,2,5,7,9,4,3,0,1,"Dec-Apr","Visa on Arrival",7,2,3.2028,73.2207,"Local islands guesthouses surfing fishing",Relaxation
DST-0063,Zanzibar,Tanzania,Sub-Saharan Africa,27.0,6.0,"Jun,Jul,Aug,Sep,Oct",70,9,50,750,3,8,5,9,7,5,4,2,4,4,4,7,5,4,0,1,"Jun-Oct","Visa on Arrival",7,3,-6.1659,39.2026,"Beaches Stone Town spices diving dhow cruises",Relaxation
DST-0064,Koh Samui,Thailand,Southeast Asia,28.0,5.0,"Dec,Jan,Feb,Mar,Jun,Jul,Aug",70,9,50,700,2,3,4,9,7,8,2,2,5,4,6,8,6,3,0,1,"Dec-Mar","Visa on Arrival",6,3,9.5120,100.0136,"Beaches wellness resorts diving Ang Thong park",Relaxation
DST-0065,Langkawi,Malaysia,Southeast Asia,28.0,4.0,"Nov,Dec,Jan,Feb,Mar,Apr",55,7,38,550,3,3,4,8,8,6,3,3,3,5,4,8,5,4,0,1,"Nov-Apr","Visa-Free",7,4,6.3561,99.7971,"Beaches mangroves cable car duty-free",Relaxation
DST-0066,Hoi An,Vietnam,Southeast Asia,25.0,10.0,"Feb,Mar,Apr,May,Jun,Jul",40,5,28,650,5,12,7,4,6,4,6,2,3,4,3,8,6,2,0,1,"Feb-Jul","eVisa available",5,4,15.8801,108.3380,"Lanterns tailors ancient town riverside cuisine",Culture
DST-0067,Salzburg,Austria,Western Europe,9.0,20.0,"May,Jun,Jul,Aug,Sep",110,15,85,350,20,15,8,1,8,4,7,4,4,6,5,9,6,3,1,0,"May-Sep","Schengen Visa",8,7,47.8095,13.0550,"Sound of Music Mozart Alps classical festivals",Culture
DST-0068,Luang Prabang,Laos,Southeast Asia,26.0,12.0,"Nov,Dec,Jan,Feb,Mar",40,5,28,650,4,12,6,1,7,4,7,2,2,3,2,8,4,2,1,0,"Nov-Mar","Visa on Arrival",4,3,19.8834,102.1336,"Temples waterfalls Mekong monks alms giving",Culture
DST-0069,Granada,Spain,Western Europe,17.0,18.0,"Mar,Apr,May,Sep,Oct",75,10,55,300,12,15,7,2,7,4,8,3,7,4,4,8,7,2,1,0,"Mar-May","Schengen Visa",6,6,37.1773,-3.5986,"Alhambra flamenco tapas Sierra Nevada views",Culture
DST-0070,Kandy,Sri Lanka,South Asia,25.0,8.0,"Dec,Jan,Feb,Mar,Apr",40,5,28,600,5,8,7,1,7,3,7,3,2,4,2,7,5,2,1,0,"Dec-Apr","eVisa available",5,4,7.2906,80.6337,"Temple of Tooth tea plantations Buddhism culture",Culture
DST-0071,Havana,Cuba,Caribbean,25.0,8.0,"Nov,Dec,Jan,Feb,Mar,Apr",60,8,42,400,18,15,8,6,6,3,7,2,7,4,3,6,7,2,0,1,"Nov-Apr","Tourist Card required",4,4,23.1136,-82.3666,"Old Havana cigars rum classic cars music",Culture
DST-0072,Cartagena,Colombia,South America,28.0,5.0,"Dec,Jan,Feb,Mar,Apr",65,9,45,450,10,12,7,7,6,4,7,2,7,4,4,7,6,3,0,1,"Dec-Apr","Visa-Free",4,5,10.3910,-75.4794,"Colonial Old Town fortress Caribbean beaches",Culture
DST-0073,Petra,Jordan,Middle East,20.0,18.0,"Mar,Apr,May,Sep,Oct,Nov",80,11,55,550,3,15,4,1,8,2,8,4,2,3,2,7,6,3,1,0,"Mar-May","Visa on Arrival",6,4,30.3285,35.4444,"Nabataean ruins rock-cut architecture desert",Culture
DST-0074,Lalibela,Ethiopia,Sub-Saharan Africa,20.0,10.0,"Oct,Nov,Dec,Jan,Feb,Mar",45,6,30,700,2,15,6,1,6,1,7,3,1,2,1,6,3,2,1,0,"Oct-Mar","eVisa available",3,2,12.0317,39.0475,"Rock-hewn churches Coptic Christianity pilgrimage",Culture
DST-0075,Sydney,Australia,Oceania,19.0,12.0,"Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr",130,18,100,1000,25,18,8,8,7,6,7,4,8,7,7,9,8,6,0,1,"Sep-Apr","eVisitor required",10,9,-33.8688,151.2093,"Opera House beaches coastal walks culture",Culture
DST-0076,Cape Town,South Africa,Sub-Saharan Africa,17.0,12.0,"Nov,Dec,Jan,Feb,Mar",70,10,50,800,18,12,6,7,9,5,6,6,6,5,5,6,6,7,1,1,"Nov-Mar","Visa-Free",9,5,-33.9249,18.4241,"Table Mountain beaches wine Winelands penguins",Adventure
DST-0077,Nairobi,Kenya,Sub-Saharan Africa,19.0,8.0,"Jun,Jul,Aug,Sep,Oct,Dec,Jan,Feb",80,10,55,700,10,5,4,1,5,3,4,3,5,4,4,6,5,5,1,0,"Jun-Oct","eVisa available",8,5,-1.2921,36.8219,"Safari Giraffe Centre elephants national park",Adventure
DST-0078,Nairobi,Kenya,Sub-Saharan Africa,19.0,8.0,"Jun,Jul,Aug,Sep,Oct,Dec,Jan,Feb",80,10,55,700,10,5,4,1,5,3,4,3,5,4,4,6,5,5,1,0,"Jun-Oct","eVisa available",8,5,-1.2921,36.8219,"Safari Giraffe Centre elephants national park",Adventure
DST-0079,Maldives,Maldives,South Asia,28.0,3.0,"Dec,Jan,Feb,Mar,Apr",300,30,280,900,1,1,2,10,8,9,2,1,2,6,10,9,4,3,0,1,"Dec-Apr","Visa on Arrival",7,2,3.2028,73.2207,"Overwater villas diving spa luxury honeymoon",Luxury
DST-0080,Santiago,Chile,South America,16.0,14.0,"Oct,Nov,Dec,Jan,Feb,Mar,Apr",90,12,65,800,20,15,6,2,7,4,6,4,7,5,5,7,6,4,1,0,"Oct-Apr","Visa-Free",5,7,-33.4489,-70.6693,"Andes views wineries museums urban parks",Culture
DST-0081,Santiago,Chile,South America,16.0,14.0,"Oct,Nov,Dec,Jan,Feb,Mar,Apr",90,12,65,800,20,15,6,2,7,4,6,4,7,5,5,7,6,4,1,0,"Oct-Apr","Visa-Free",5,7,-33.4489,-70.6693,"Andes views wineries museums urban parks",Culture
DST-0082,Montevideo,Uruguay,South America,17.0,14.0,"Oct,Nov,Dec,Jan,Feb,Mar,Apr",80,11,55,700,15,12,6,6,6,4,6,2,6,5,4,8,5,3,0,1,"Oct-Apr","Visa-Free",6,6,-34.9011,-56.1645,"Rambla beaches tango mate culture colonial",Culture
DST-0083,Montevideo,Uruguay,South America,17.0,14.0,"Oct,Nov,Dec,Jan,Feb,Mar,Apr",80,11,55,700,15,12,6,6,6,4,6,2,6,5,4,8,5,3,0,1,"Oct-Apr","Visa-Free",6,6,-34.9011,-56.1645,"Rambla beaches tango mate culture colonial",Culture
DST-0084,San Carlos de Bariloche,Argentina,South America,9.0,14.0,"Dec,Jan,Feb,Mar",80,11,55,850,5,3,4,2,9,4,3,8,3,5,4,8,5,8,1,0,"Dec-Mar","Visa-Free",5,4,-41.1335,-71.3103,"Patagonia lakes skiing chocolate Swiss-style",Adventure
DST-0085,Lombok,Indonesia,Southeast Asia,27.0,5.0,"May,Jun,Jul,Aug,Sep",45,6,30,700,2,4,4,8,8,6,3,6,3,4,4,7,5,6,1,1,"May-Sep","Visa on Arrival",5,3,-8.6500,116.5333,"Rinjani volcano beaches surfing waterfalls",Adventure
DST-0086,Dolomites,Italy,Western Europe,6.0,22.0,"Jun,Jul,Aug,Sep",150,20,120,400,4,5,4,1,10,5,4,9,3,5,6,9,5,9,1,0,"Jun-Sep","Schengen Visa",7,6,46.5310,11.9538,"Alpine lakes via ferrata skiing rifugios",Adventure
DST-0087,Bhutan,Bhutan,South Asia,12.0,14.0,"Mar,Apr,May,Sep,Oct,Nov",200,20,150,800,5,15,7,1,9,4,7,8,2,4,4,8,3,7,1,0,"Mar-May","Visa required",7,3,27.5142,90.4336,"Himalayas monasteries Gross National Happiness trekking",Adventure
DST-0088,Salkantay Trek,Peru,South America,10.0,15.0,"May,Jun,Jul,Aug,Sep",55,7,35,700,2,8,3,1,10,1,4,9,1,2,1,7,4,9,1,0,"May-Sep","Visa-Free",3,2,-13.3333,-72.5500,"Andes trekking Machu Picchu alternative trail",Adventure
DST-0089,Wadi Rum,Jordan,Middle East,22.0,20.0,"Mar,Apr,May,Sep,Oct,Nov",70,10,50,550,1,5,3,1,9,2,4,6,2,3,2,7,4,7,1,0,"Mar-May","Visa on Arrival",5,3,29.5765,35.4199,"Desert camping Bedouin rock climbing Mars",Adventure
DST-0090,Azores,Portugal,Western Europe,17.0,8.0,"Jun,Jul,Aug,Sep",85,12,65,400,3,4,5,4,9,6,3,7,3,5,4,9,4,7,1,1,"Jun-Sep","Schengen Visa",8,5,37.7412,-25.6756,"Volcanoes hot springs whale watching hydrangeas",Adventure
DST-0091,Lake Bled,Slovenia,Western Europe,9.0,20.0,"Jun,Jul,Aug,Sep",95,13,70,300,3,5,5,1,10,5,4,7,3,5,5,9,5,6,1,0,"Jun-Sep","Schengen Visa",8,5,46.3636,14.0933,"Alpine lake castle island hiking rafting",Adventure
DST-0092,Sapa,Vietnam,Southeast Asia,15.0,15.0,"Mar,Apr,May,Sep,Oct,Nov",30,4,20,650,1,2,5,1,9,2,4,8,2,3,2,7,4,7,1,0,"Mar-May","eVisa available",3,3,22.3345,103.8455,"Rice terraces trekking hill tribes homestay",Adventure
